"","name","start","nation","product","dist","class","genre","director","people","screen","play"
"1","007 스펙터",42319,"영국","","유니버설픽쳐스인터내셔널 코리아(유)","15세이상관람가","액션,어드벤처,범죄,스릴러","샘 멘데스",1820728,1105,51939
"2","13시간",42432,"미국","","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","액션,드라마,스릴러","마이클 베이",145946,380,9614
"3","19곰 테드 2",42180,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","청소년관람불가","코미디","세스 맥팔레인",170647,297,7147
"4","300: 제국의 부활",41704,"미국","","워너브러더스 코리아(주)","청소년관람불가","액션,드라마,전쟁","노암 머로",1593116,720,54902
"5","5일의 마중",41920,"중국","","찬란","전체관람가","멜로/로맨스,드라마","장예모",50775,86,2603
"6","7번째 아들",42046,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","12세이상관람가","어드벤처,가족,판타지","세르게이 보드로프",91139,358,7379
"7","R.I.P.D. : 알.아이.피.디.",41508,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","15세이상관람가","액션,코미디,범죄","로베르트 슈벤트케",101460,268,5744
"8","가디언즈 오브 갤럭시",41851,"미국","","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","12세이상관람가","액션,어드벤처,SF","제임스 건",1309671,539,22388
"9","가시",41739,"한국","(주)캠프비,(주)뱅가드스튜디오","(주)인벤트스톤","청소년관람불가","멜로/로맨스,드라마","김태균",142170,356,11622
"10","간신",42145,"한국","(주)수필름","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","사극","민규동",1109693,697,40569
"11","감기",41500,"한국","아이러브시네마,(주)아이필름홀딩스,씨제이이앤엠(주)","아이러브시네마","15세이상관람가","드라마,어드벤처,액션","김성수",3116401,806,55038
"12","갓 오브 이집트",42432,"미국","","(주)시네마서비스,(주)나이너스엔터테인먼트","12세이상관람가","어드벤처,판타지","알렉스 프로야스",919835,618,35323
"13","강남 1970",42025,"한국","(주)모베라픽처스,(주)쇼박스","(주)쇼박스","청소년관람불가","액션,드라마","유하",2188441,841,53261
"14","개구리왕국",42320,"중국","","예지림엔터테인먼트","전체관람가","애니메이션,어드벤처","넬슨 신",53438,227,1968
"15","개구쟁이 스머프 2",41487,"미국","","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","전체관람가","애니메이션,코미디,가족","라자 고스넬",322007,317,6359
"16","개를 훔치는 완벽한 방법",42004,"한국","(주)삼거리픽쳐스","(주)리틀빅픽쳐스,(주)대명문화공장","전체관람가","드라마,가족","김성호",251129,205,6749
"17","갤로우즈",42250,"미국","","워너브러더스 코리아(주)","15세이상관람가","공포(호러)","트래비스 클러프,크리스 로핑",88388,299,4652
"18","검사외전",42403,"한국","(주)영화사 월광,(주)사나이픽처스","(주)쇼박스","15세이상관람가","범죄,코미디","이일형",9698574,1812,152533
"19","검은 사제들",42313,"한국","영화사 집","씨제이이앤엠(주)","15세이상관람가","미스터리,드라마","장재현",5407767,1109,129117
"20","겨울왕국",41655,"미국","","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","전체관람가","애니메이션,어드벤처,가족,코미디,뮤지컬,판타지","크리스 벅,제니퍼 리",9675656,1010,131526
"21","결혼전야",41599,"한국","(주)수필름","씨너스엔터테인먼트(주)","15세이상관람가","멜로/로맨스,코미디","홍지영",1206998,524,38796
"22","경성학교: 사라진 소녀들",42173,"한국","청년필름(주),비밀의화원","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","미스터리,드라마","이해영",356154,489,18514
"23","경주",41802,"한국","(주)인벤트스톤,률필름","(주)인벤트스톤","15세이상관람가","드라마,코미디,멜로/로맨스","장률",61881,318,5661
"24","계춘할망",42509,"한국","지오엔터테인먼트,(주)퍼플켓츠필름,(주)빅스토리픽쳐스","(주)콘텐츠 난다긴다","15세이상관람가","가족,드라마","창",473175,526,19546
"25","고녀석 맛나겠다2 : 함께라서 행복해",42214,"한국","(주)미디어캐슬","(주)리틀빅픽쳐스","전체관람가","애니메이션,가족,어드벤처","최경석,노나카 카즈미",54074,142,1635
"26","고질라",41774,"미국","","워너브러더스 코리아(주)","12세이상관람가","액션,SF","가렛 에드워즈",709734,610,25335
"27","곡성",42502,"한국","사이드미러,이십세기폭스 인터내셔널 프로덕션","이십세기폭스코리아(주)","15세이상관람가","미스터리,스릴러,드라마","나홍진",6807889,1485,126948
"28","공범",41571,"한국","선샤인필름(주)","씨제이이앤엠(주)","15세이상관람가","스릴러,드라마","국동석",1766042,611,51401
"29","관능의 법칙",41683,"한국","(주)명필름","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","드라마,코미디","권칠인",772965,591,30429
"30","관상",41528,"한국","(주)주피터필름,(주)쇼박스","(주)쇼박스","15세이상관람가","사극,드라마","한재림",9102866,1240,123596
"31","괴물의 아이",42333,"일본","","CGV아트하우스,(주)리틀빅픽쳐스","12세이상관람가","애니메이션,판타지,어드벤처","호소다 마모루",221768,363,10496
"32","구스범스",42383,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","12세이상관람가","액션,어드벤처,코미디","롭 레터맨",297353,515,13477
"33","국제시장",41990,"한국","(주)제이케이필름,씨제이이앤엠(주)","씨제이이앤엠(주)","12세이상관람가","드라마","윤제균",11991882,1044,155582
"34","군도: 민란의 시대",41843,"한국","(주)영화사 월광,(주)쇼박스","(주)쇼박스","15세이상관람가","사극,액션","윤종빈",4773840,1394,67185
"35","굿 다이노",42376,"미국","","월트디즈니컴퍼니코리아(주)","전체관람가","애니메이션,어드벤처,코미디","피터 손",1328847,814,33071
"36","굿바이 싱글",42550,"한국","호두앤유 엔터테인먼트(주),(주)영화사람","(주)쇼박스","15세이상관람가","코미디,드라마","김태곤",2082427,841,56246
"37","귀향",42424,"한국","제이오엔터테인먼트","(주)와우픽쳐스","15세이상관람가","드라마","조정래",3570542,876,88680
"38","그날의 분위기",42383,"한국","영화사 문(주)","(주)쇼박스","15세이상관람가","멜로/로맨스","조규장",652392,592,27174
"39","그녀",41781,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","청소년관람불가","드라마,멜로/로맨스","스파이크 존즈",296421,168,8299
"40","그놈이다",42305,"한국","상상필름(주)","CGV아트하우스","15세이상관람가","스릴러","윤준형",1046015,681,38678
"41","그래비티",41564,"미국","","워너브러더스 코리아(주)","12세이상관람가","SF,드라마","알폰소 쿠아론",3087586,636,77783
"42","그랜드 부다페스트 호텔",41718,"미국","","이십세기폭스코리아(주)","청소년관람불가","미스터리,어드벤처","웨스 앤더슨",682900,241,22782
"43","그렇게 아버지가 된다",41627,"일본","","(주)티캐스트콘텐츠허브","전체관람가","드라마,가족","고레에다 히로카즈",101440,57,3088
"44","그레이스 오브 모나코",41808,"프랑스","","(주)쇼박스","12세이상관람가","드라마","올리비에 다한",236040,358,13051
"45","그레이의 50가지 그림자",42061,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","청소년관람불가","드라마,멜로/로맨스","샘 테일러-존슨",364373,512,19214
"46","극비수사",42173,"한국","(주)제이콘컴퍼니,(주)영화사신세계","(주)쇼박스","15세이상관람가","드라마,범죄","곽경택",2860680,894,66193
"47","극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전",41662,"일본","","롯데쇼핑㈜롯데엔터테인먼트","전체관람가","액션","가네다 오사무",59611,183,1952
"48","극장판 꼬마버스 타요의 에이스 구출작전",42390,"한국","(주)아이코닉스,(주)스튜디오게일","(주)아이코닉스","전체관람가","애니메이션","류정우",130644,200,5224
"49","극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~",42264,"일본","","(주)와우픽쳐스","전체관람가","애니메이션,SF,어드벤처","오오스기 요시히로",113321,351,3518
"50","극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~",41886,"일본","","(주)이수C&E","전체관람가","애니메이션,어드벤처","야쿠와 신노스케",167926,277,4039
"51","극장판 루팡 3세 VS 명탐정 코난",41788,"일본","","씨제이이앤엠(주)","12세이상관람가","애니메이션","카메가키 하지메",225842,327,5429
"52","극장판 아이엠스타 : 꿈의 오디션!",42411,"일본","","씨제이이앤엠(주)","전체관람가","애니메이션","키무라 류이치",140973,254,3901
"53","극장판 안녕 자두야",42494,"한국","아툰즈,씨제이이앤엠(주)","씨제이이앤엠(주)","전체관람가","애니메이션","손석우",279701,523,7701
"54","극장판 요괴워치: 탄생의 비밀이다냥!",42207,"일본","","씨제이이앤엠(주)","전체관람가","애니메이션","타카하시 시게하루,우시로 신지",550671,509,11755
"55","극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",41914,"일본","","(주)이수C&E","전체관람가","액션,SF","사카모토 코이치",212849,363,6618
